State, Date, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh,31-01-2019,5.21,17525876,43.83
Andhra Pradesh,28-02-2019,5.76,15705618,39.46
Andhra Pradesh,31-03-2019,5.17,16300531,40.64
Andhra Pradesh,30-04-2019,4.02,17501776,43.05
Andhra Pradesh,31-05-2019,4.36,16787801,41.38
Andhra Pradesh,30-06-2019,3.27,16580510,40.35
Andhra Pradesh,31-07-2019,4.29,16744148,41.12
Andhra Pradesh,31-08-2019,3.68,17028869,41.5
Andhra Pradesh,30-09-2019,5.41,16990761,42.11
Andhra Pradesh,31-10-2019,3.86,16791781,40.88
Andhra Pradesh,30-11-2019,5.14,16066455,39.59
Andhra Pradesh,31-12-2019,5.39,17442360,43.03
Assam,31-01-2019,5.11,12518130,52.28
Assam,28-02-2019,5.36,10314086,43.12
Assam,31-03-2019,6.78,11068934,46.88
Assam,30-04-2019,5,11349197,47.07
Assam,31-05-2019,4.75,13421041,55.41
Assam,30-06-2019,5.87,10570564,44.07
Assam,31-07-2019,4.1,11651371,47.59
Assam,31-08-2019,6.49,10887620,45.51
Assam,30-09-2019,5.07,13044829,53.61
Assam,31-10-2019,5.76,9991084,41.27
Assam,30-11-2019,4.91,11333409,46.31
Assam,31-12-2019,0.88,10209749,39.95
Bihar,31-01-2019,8.69,27289779,39.17
Bihar,28-02-2019,11.47,26749981,39.53
Bihar,31-03-2019,11.29,26382051,38.82
Bihar,30-04-2019,12.19,25018247,37.11
Bihar,31-05-2019,10.58,27351666,39.76
Bihar,30-06-2019,10.58,27346572,39.66
Bihar,31-07-2019,13.8,26308621,39.5
Bihar,31-08-2019,11.84,25254973,36.99
Bihar,30-09-2019,10.1,26983170,38.68
Bihar,31-10-2019,12.66,27226568,40.08
Bihar,30-11-2019,13.07,25527075,37.68
Bihar,31-12-2019,10.73,25892391,37.13
Chhattisgarh,31-01-2019,7.87,8346885,42.35
Chhattisgarh,28-02-2019,7.29,8719835,43.88
Chhattisgarh,31-03-2019,3.71,9034510,43.67
Chhattisgarh,30-04-2019,3.44,8596924,41.35
Chhattisgarh,31-05-2019,9.8,8482147,43.57
Chhattisgarh,30-06-2019,8.06,8800644,44.26
Chhattisgarh,31-07-2019,5.48,9039059,44.11
Chhattisgarh,31-08-2019,5.08,9000093,43.64
Chhattisgarh,30-09-2019,8.63,8800594,44.23
Chhattisgarh,31-10-2019,7.8,9340935,46.42
Chhattisgarh,30-11-2019,4.23,9284214,44.32
Chhattisgarh,31-12-2019,5.44,8984824,43.34
Delhi,31-01-2019,12.18,6006259,45.07
Delhi,28-02-2019,11.56,5456349,40.57
Delhi,31-03-2019,13.05,5471499,41.28
Delhi,30-04-2019,8.37,5615928,40.11
Delhi,31-05-2019,12.32,5925960,44.12
Delhi,30-06-2019,12.67,5699248,42.5
Delhi,31-07-2019,14.58,5559698,42.28
Delhi,31-08-2019,13.61,5687918,42.67
Delhi,30-09-2019,20.38,5808310,47.16
Delhi,31-10-2019,12.49,6179875,45.54
Delhi,30-11-2019,15.96,5618368,43.01
Delhi,31-12-2019,11.23,5864011,42.4
Goa,31-01-2019,7.45,481283,41.17
Goa,28-02-2019,7.08,475535,40.47
Goa,31-03-2019,8.87,463645,40.19
Goa,30-04-2019,9.3,509668,44.34
Goa,31-05-2019,2.82,444196,36.03
Goa,30-06-2019,10.66,474485,41.81
Goa,31-07-2019,11.8,447804,39.93
Goa,31-08-2019,3.67,426879,34.81
Goa,30-09-2019,3.53,458583,37.3
Goa,31-10-2019,10.44,467704,40.93
Goa,30-11-2019,24.66,431101,44.8
Goa,31-12-2019,11.8,465309,41.26
Gujarat,31-01-2019,5.8,23754560,49
Gujarat,28-02-2019,5.54,23789056,48.86
Gujarat,31-03-2019,4.53,24364847,49.41
Gujarat,30-04-2019,3,24177961,48.16
Gujarat,31-05-2019,3.38,23641286,47.19
Gujarat,30-06-2019,5.45,23344240,47.52
Gujarat,31-07-2019,4.81,24155108,48.75
Gujarat,31-08-2019,3.92,23735498,47.36
Gujarat,30-09-2019,6.15,22889629,46.67
Gujarat,31-10-2019,5.15,24302741,48.93
Gujarat,30-11-2019,5.86,24383939,49.37
Gujarat,31-12-2019,4.42,24050638,47.87
Haryana,31-01-2019,17.89,7695203,43.17
Haryana,28-02-2019,21.29,7579380,44.27
Haryana,31-03-2019,18.99,7112728,40.27
Haryana,30-04-2019,26.39,7120484,44.28
Haryana,31-05-2019,18.27,7942782,44.39
Haryana,30-06-2019,22.1,7590368,44.41
Haryana,31-07-2019,19.53,7232533,40.88
Haryana,31-08-2019,28.68,7081312,45.06
Haryana,30-09-2019,20.19,7815959,44.35
Haryana,31-10-2019,23.04,7620290,44.75
Haryana,30-11-2019,20.36,7280003,41.23
Haryana,31-12-2019,27.56,7152316,44.43
Himachal Pradesh,31-01-2019,13.89,2298753,45.03
Himachal Pradesh,28-02-2019,13.82,2226496,43.51
Himachal Pradesh,31-03-2019,18.79,2183648,45.22
Himachal Pradesh,30-04-2019,19.64,2216624,46.31
Himachal Pradesh,31-05-2019,13.38,2291429,44.34
Himachal Pradesh,30-06-2019,12.63,2194657,42.03
Himachal Pradesh,31-07-2019,20.69,2152718,45.35
Himachal Pradesh,31-08-2019,19.24,2205562,45.55
Himachal Pradesh,30-09-2019,15.57,2287014,45.11
Himachal Pradesh,31-10-2019,16.74,2179279,43.51
Himachal Pradesh,30-11-2019,23.34,2257438,48.87
Himachal Pradesh,31-12-2019,20.16,2164186,44.91
Jammu & Kashmir,31-01-2019,17.1,3596568,42.92
Jammu & Kashmir,28-02-2019,15.23,3482740,40.56
Jammu & Kashmir,31-03-2019,15.15,3711176,43.09
Jammu & Kashmir,30-04-2019,10.62,3894195,42.84
Jammu & Kashmir,31-05-2019,16.26,3625325,42.47
Jammu & Kashmir,30-06-2019,14.74,3563557,40.92
Jammu & Kashmir,31-07-2019,16.34,3733085,43.59
Jammu & Kashmir,31-08-2019,22.45,3411463,42.88
Jammu & Kashmir,30-09-2019,19.87,3365012,40.85
Jammu & Kashmir,31-10-2019,20.73,3506707,42.94
Jammu & Kashmir,30-11-2019,14.58,3642517,41.31
Jammu & Kashmir,31-12-2019,12.48,4574768,50.52
Jharkhand,31-01-2019,9.05,9492973,40.31
Jharkhand,28-02-2019,6.88,9992862,41.36
Jharkhand,31-03-2019,13.58,9188910,40.89
Jharkhand,30-04-2019,12.23,9570966,41.84
Jharkhand,31-05-2019,9.92,9439796,40.12
Jharkhand,30-06-2019,11.69,9646693,41.74
Jharkhand,31-07-2019,11.53,9392979,40.47
Jharkhand,31-08-2019,14.26,9350763,41.48
Jharkhand,30-09-2019,10.31,10030750,42.45
Jharkhand,31-10-2019,9.92,10221435,42.97
Jharkhand,30-11-2019,10.57,9703914,41
Jharkhand,31-12-2019,16.98,9163609,41.62
Karnataka,31-01-2019,1.49,23072967,43.32
Karnataka,28-02-2019,2,22550688,42.48
Karnataka,31-03-2019,1.29,20755789,38.74
